Platform,Category,UserRecordType,Title,Country,ReleaseType,Publisher,Developer,Genre,CreatedAt,Ownership,PriceLoose,PriceCIB,PriceNew,YourPrice,PricePaid,ItemCondition,BoxCondition,ManualCondition,Notes,Tags,metacritic
"Nintendo Switch","Games","Owned","Everybody 1-2 Switch","United Kingdom","Official","Nintendo","NDCube, Nintendo","Party","9 nov 2024","CIB","9,03","14,24","18,6","14,24","-1.0",1.0,1.0,1.0,"","","56",
"Nintendo Switch","Games","Owned","FIFA 18","United States of America","Official","Electronic Arts","EA Vancouver and EA Romania","Sports","14 abr 2021","Boxed","17,14","19,98","51,57","19,98","-1.0",1.0,1.0,?,"","","68",
"Nintendo Switch","Games","Owned","Guilty Gear 20th Anniversary Edition","United Kingdom","Official","PQube","ARC System Works","Fighting","14 abr 2021","CIB","30,43","41,49","52,61","41,49","-1.0",1.0,1.0,1.0,"","","Missing Field",
"Nintendo Switch","Games","Owned","Hades","United States of America","Official","Nintendo, Supergiant Games","Supergiant Games","Action, Adventure, RPG, Roguelike","4 ago 2024","New","30,5","38,27","52,28","52,28","-1.0",?,1.0,?,"","","93",
"Nintendo Switch","Games","Owned","Hollow Knight","United States of America","Official","Fangamer","Team Cherry","Action, Adventure","7 ago 2021","CIB","28,98","30,49","33,49","30,49","-1.0",1.0,1.0,1.0,"","","90",
"Nintendo Switch","Games","Owned","Hyrule Warriors: Definitive Edition","United States of America","Official","Nintendo","Koei Tecmo","Action, Fighting, Beat 'em up","14 abr 2021","Boxed","44,49","48,02","60,45","48,02","-1.0",1.0,1.0,?,"","","78",
"Nintendo Switch","Games","Owned","Ittle Dew 2+","United States of America","Official","Nicalis, Inc.","Ludosity Interactive","Action, Adventure","4 ago 2024","CIB","20,48","25,45","36,49","25,45","-1.0",1.0,1.0,1.0,"","","77",
"Nintendo Switch","Games","Owned","Kirby Star Allies","United States of America","Official","Nintendo","HAL Laboratory, Inc.","Action, Platformer","16 may 2025","CIB","27,32","29,06","40,5","29,06","-1.0",1.0,1.0,1.0,"","","73",
"Nintendo Switch","Games","Owned","LEGO DC Super-Villains","United States of America","Official","Warner Bros. Interactive Entertainment","TT Games","Action, Adventure","14 abr 2021","Boxed","9,61","10,9","19,98","10,9","-1.0",1.0,1.0,?,"","","75",
"Nintendo Switch","Games","Owned","LEGO Jurassic World","United States of America","Official","Warner Bros. Interactive Entertainment","TT Games","Action","14 abr 2021","Boxed","13,54","15,5","19,62","15,5","-1.0",1.0,1.0,?,"","","71",
"Nintendo Switch","Games","Owned","LEGO Marvel Super Heroes 2","United States of America","Official","WB Games","TT Games","Action, Adventure, Sandbox","14 abr 2021","Boxed","10,25","12,24","18,6","12,24","-1.0",1.0,1.0,?,"","","76",
"Nintendo Switch","Games","Owned","LEGO The Incredibles","United States of America","Official","WB Games","TT Games","Action, Platformer","14 abr 2021","Boxed","8,89","10,08","18,98","10,08","-1.0",1.0,1.0,?,"","","65",
"Nintendo Switch","Games","Owned","Luigi's Mansion 3","United States of America","Official","Nintendo","Next Level Games","Action, Adventure","28 ene 2025","CIB","30,49","30,5","39,15","30,5","-1.0",1.0,1.0,1.0,"","","86",
"Nintendo Switch","Games","Owned","Mario + Rabbids: Kingdom Battle","United States of America","Official","Ubisoft","Ubisoft Paris, Ubisoft Milan, Ubisoft Montpellier, Ubisoft Bucharest","Adventure, Strategy","10 may 2024","CIB","9,82","10,58","19,79","10,58","-1.0",1.0,1.0,1.0,"","","85",
"Nintendo Switch","Games","Owned","Mario Kart 8 Deluxe","United States of America","Official","Nintendo","Nintendo","Racing","14 abr 2021","Boxed","32,09","36,49","41,48","36,49","-1.0",1.0,1.0,?,"","","92",
"Nintendo Switch","Games","Owned","Mario vs. Donkey Kong","United States of America","Official","Nintendo","Nintendo Software Technology","Action, Puzzle, Platformer","24 may 2025","CIB","28,28","29,04","34","29,04","-1.0",1.0,1.0,1.0,"","","76",
"Nintendo Switch","Games","Owned","Mega Man 11","United States of America","Official","Capcom","Capcom","Action, Platformer","14 abr 2021","Boxed","13,5","15,1","25,49","15,1","-1.0",1.0,1.0,?,"","","80",
"Nintendo Switch","Games","Owned","MegaMan Legacy Collection 1 + 2","United States of America","Official","Capcom","Digital Eclipse Software, Inc.","Action, Platformer","14 abr 2021","Boxed","25,48","28","34,5","28","-1.0",1.0,1.0,?,"","","Missing Field",
"Nintendo Switch","Games","Owned","Metro Redux","United States of America","Official","Deep Silver, KOCH Media","4A Games","Action","4 ago 2024","CIB","16,49","19,38","25,49","19,38","-1.0",1.0,1.0,1.0,"","","80",
"Nintendo Switch","Games","Owned","Metroid Prime Remastered","United States of America","Official","Nintendo","Iron Galaxy Studios, Retro Studios","Action, Adventure, Platformer","24 jul 2024","New","28,26","29,66","35,49","35,49","-1.0",?,1.0,?,"","","94",
"Nintendo Switch","Games","Owned","Minecraft","United States of America","Official","Nintendo, Xbox Game Studios","Mojang, Skybox Labs","Action, Adventure, Sandbox","31 dic 2024","CIB","17,19","18,73","24,02","18,73","-1.0",1.0,1.0,1.0,"","","86",
"Nintendo Switch","Games","Owned","Minecraft Legends [Deluxe Edition]","United Kingdom","Official","Mojang AB","Missing Field","Action, Strategy","1 may 2025","CIB","17,89","25,68","42,33","25,68","-1.0",1.0,1.0,1.0,"","","Missing Field",
"Nintendo Switch","Games","Owned","Mortal Kombat 11","United States of America","Official","WB Games","NetherRealm Studios, Shiver Games","Fighting","14 abr 2021","Boxed","12,74","13,37","16,47","13,37","-1.0",1.0,1.0,?,"","","78",
"Nintendo Switch","Games","Owned","MXGP3","United States of America","Official","Milestone S.r.l","Milestone S.r.l.","Racing","14 abr 2021","Boxed","14,49","15,5","33,72","15,5","-1.0",1.0,1.0,?,"","","Missing Field",
"Nintendo Switch","Games","Owned","NBA 2K18","United States of America","Official","Take-Two Interactive Software, Inc.","Visual Concepts","Sports","14 abr 2021","Boxed","6,87","6,94","12,6","6,94","-1.0",1.0,1.0,?,"","","74",
"Nintendo Switch","Games","Owned","NBA 2K19","United States of America","Official","2K Games","Visual Concepts","Sports","14 abr 2021","Loose","6,25","10,16","15,26","6,25","-1.0",1.0,?,?,"","","82",
"Nintendo Switch","Games","Owned","NBA 2K20","United States of America","Official","2K","Visual Concepts","Sports","4 ago 2024","CIB","8,57","9,49","18,48","9,49","-1.0",1.0,1.0,1.0,"","","73",
"Nintendo Switch","Games","Owned","Need for Speed: Hot Pursuit Remastered","United States of America","Official","Electronic Arts","Criterion Games","Racing","25 nov 2025","CIB","21,58","22,49","33,49","22,49","-1.0",1.0,1.0,1.0,"","","74",
"Nintendo Switch","Games","Owned","New Pokémon Snap","United States of America","Official","Nintendo","Bandai Namco Entertainment","Adventure, First-person shooter","4 oct 2024","CIB","34,6","35,25","36,5","35,25","-1.0",1.0,1.0,1.0,"","","79",
"Nintendo Switch","Games","Owned","New Super Lucky's Tale","United States of America","Official","Nintendo, Playful Corp.","Playful Corp.","Action, Adventure, Platformer","14 abr 2021","Boxed","15,72","15,74","28,22","15,74","-1.0",1.0,1.0,?,"","","76",
"Nintendo Switch","Games","Owned","New Super Mario Bros. U Deluxe","United States of America","Official","Nintendo","Nintendo","Action, Adventure, Platformer","14 abr 2021","Boxed","33","34,15","43,94","34,15","-1.0",1.0,1.0,?,"","","80",
"Nintendo Switch","Systems","Owned","Nintendo Switch Lite [Zacian and Zamazenta Edition]","United States of America","Official","Nintendo","Nintendo","Missing Field","27 ago 2024","CIB","142,26","197,74","320,39","197,74","-1.0",1.0,1.0,1.0,"","","Missing Field",
"Nintendo Switch","Controllers","Owned","Nintendo Switch Pro Controller","United States of America","Official","Nintendo","Nintendo","Missing Field","1 jul 2025","CIB","25,49","27,75","43,23","27,75","-1.0",1.0,1.0,1.0,"","","Missing Field",
"Nintendo Switch","Controllers","Owned","Nintendo Switch Pro Controller [Super Smash Bros. Ultimate Edition]","United States of America","Official","Nintendo","Missing Field","Missing Field","1 jul 2025","Loose","31,19","52,53","69,47","31,19","-1.0",1.0,?,?,"","","Missing Field",
"Nintendo Switch","Games","Owned","Nintendo Switch Sports","United States of America","Official","Nintendo","Nintendo EPD","Action, Sports, Family, Party","4 ago 2024","CIB","29,69","30,45","35,93","30,45","-1.0",1.0,1.0,1.0,"","","72",
"Nintendo Switch","Systems","Owned","Nintendo Switch with Blue and Red Joy-con","United States of America","Official","Nintendo","Missing Field","Missing Field","2 jul 2025","CIB","154,36","165,5","225,5","165,5","-1.0",1.0,1.0,1.0,"","","Missing Field",
"Nintendo Switch","Games","Owned","Ori and the Will of the Wisps","United States of America","Official","Xbox Game Studios, iam8bit","Moon Studios","Action, Platformer","5 jun 2025","CIB","20,5","21,75","35,49","21,75","-1.0",1.0,0.9,1.0,"","","93",
"Nintendo Switch","Games","Owned","Overcooked! 2","United States of America","Official","Team17 Software Limited","Ghost Town Games Ltd.","Management Sim, Strategy","4 ago 2024","CIB","17,45","18,51","30,45","18,51","-1.0",1.0,1.0,1.0,"","","81",
"Nintendo Switch","Games","Owned","Owlboy","United States of America","Official","Soedesco","D-Pad Studios","Platformer","14 abr 2021","Boxed","14,11","14,13","20,93","14,13","-1.0",1.0,1.0,?,"","","87",
"Nintendo Switch","Games","Owned","Paw Patrol The Movie: Adventure City Calls","United States of America","Official","Outright Games","Drakhar Studio","Adventure, Family","4 ago 2024","CIB","10","12,82","17,32","12,82","-1.0",1.0,1.0,1.0,"","","Missing Field",
"Nintendo Switch","Games","Owned","Penny-Punching Princess","United States of America","Official","NIS America, Inc.","Nippon Ichi Software Inc.","Action, RPG","14 abr 2021","Boxed","15,31","16,98","26,13","16,98","-1.0",1.0,1.0,?,"","","63",
"Nintendo Switch","Games","Owned","Pokémon: Let's Go, Pikachu!","United States of America","Official","Nintendo","Game Freak","Adventure, RPG, Strategy","24 jul 2024","CIB","33,99","35,47","37,29","35,47","-1.0",?,?,?,"","","79",
"Nintendo Switch","Games","Owned","Rayman Legends: Definitive Edition","United States of America","Official","Ubisoft Entertainment","Pasta Games","Action, Adventure, Platformer","14 abr 2021","Boxed","14,38","14,84","22,06","14,84","-1.0",1.0,1.0,?,"","","84",
"Nintendo Switch","Games","Owned","RBI Baseball 2017","United States of America","Official","Nighthawk Interactive","MLB AM","Sports","6 nov 2024","CIB","10,49","12,37","21","12,37","-1.0",1.0,1.0,1.0,"","","38",
"Nintendo Switch","Games","Owned","Resident Evil: Revelations Collection","United States of America","Official","Capcom","Capcom","Action, Adventure, Puzzle, Strategy, First-person shooter, Horror","14 abr 2021","Boxed","24,49","25,49","35,57","25,49","-1.0",1.0,1.0,?,"","","78",
"Nintendo Switch","Games","Owned","Riot: Civil Unrest","United States of America","Official","Merge Games","IV Productions","Strategy","14 abr 2021","Boxed","13,98","14,48","19,01","14,48","-1.0",1.0,1.0,?,"","","48",
"Nintendo Switch","Games","Owned","Samurai Shodown","United States of America","Official","SNK","SNK","Fighting","4 sept 2025","CIB","88,49","106,97","144,99","106,97","-1.0",1.0,1.0,1.0,"","","75",
"Nintendo Switch","Games","Owned","Shaq Fu: A Legend Reborn","United States of America","Official","Saber Interactive, Wired Productions","Big Deez Productions","Action, Beat 'em up","6 nov 2024","CIB","10,76","12,5","15,88","12,5","-1.0",1.0,1.0,1.0,"","","49",
"Nintendo Switch","Games","Owned","Sine Mora EX","United Kingdom","Official","THQ Nordic","Digital Reality, Grasshopper Manufacture","Shoot 'em up","4 ago 2024","CIB","8,91","10,43","18,44","10,43","-1.0",1.0,1.0,1.0,"","","70",
"Nintendo Switch","Games","Owned","Sonic Forces","United States of America","Official","Sega","Sonic Team","Action, Platformer","8 jul 2024","M+B+","9","11,49","14,16","8,61","-1.0",?,1.0,?,"","","57",
"Nintendo Switch","Games","Owned","Sonic Mania","United States of America","Official","Sega","Christan Whitehead","Action, Adventure, Platformer","14 mar 2025","CIB","10,75","10,91","16,5","10,91","-1.0",1.0,1.0,1.0,"","","86",
"Nintendo Switch","Games","Owned","South Park: The Fractured But Whole","United States of America","Official","Ubisoft Entertainment","Ubisoft San Francisco","RPG","4 ago 2024","CIB","18,47","20,23","30,49","20,23","-1.0",1.0,1.0,1.0,"","","80",
"Nintendo Switch","Games","Owned","Super Mario 3D All-Stars","United States of America","Official","Nintendo","Nintendo","Action, Adventure, Platformer","14 abr 2021","Boxed","68,19","79,98","100,96","79,98","-1.0",1.0,0.9,?,"","","82",
"Nintendo Switch","Games","Owned","Super Mario Bros. Wonder","United States of America","Official","Nintendo","Nintendo EPD","Adventure, Platformer","28 mar 2025","CIB","35,15","39,47","41,66","39,47","-1.0",1.0,1.0,1.0,"","","92",
"Nintendo Switch","Games","Owned","Super Mario Maker 2","United States of America","Official","Nintendo","Nintendo","Sandbox, Platformer","14 abr 2021","Boxed","28,42","30,45","37,04","30,45","-1.0",1.0,1.0,?,"","","88",
"Nintendo Switch","Games","Owned","Super Mario Odyssey","United States of America","Official","Nintendo","Nintendo","Action, Platformer","14 abr 2021","Boxed","30,49","32,5","40,5","32,5","-1.0",1.0,1.0,?,"","","97",
"Nintendo Switch","Games","Owned","Super Mario Party","United States of America","Official","Nintendo","NDCube","Puzzle, Board, Family, Party","14 abr 2021","Boxed","26,44","26,6","40,49","26,6","-1.0",1.0,1.0,?,"","","76",
"Nintendo Switch","Games","Owned","Super Mario RPG","United States of America","Official","Nintendo","ArtePiazza","Adventure, RPG","12 sept 2024","CIB","23,31","25,01","26,14","25,01","-1.0",1.0,1.0,1.0,"","","84",
"Nintendo Switch","Games","Owned","Super Smash Bros. Ultimate","United States of America","Official","Nintendo","Bandai Namco Entertainment, Sora Ltd.","Action, Fighting, Platformer","7 nov 2021","CIB","38","39,04","48,22","39,04","-1.0",1.0,1.0,1.0,"","","93",
"Nintendo Switch","Games","Owned","Elder Scrolls V: Skyrim","United States of America","Official","Bethesda Softworks, Nintendo","Bethesda Game Studios","Action, RPG","14 abr 2021","Boxed","31,49","31,81","60,03","31,81","-1.0",1.0,?,?,"","","84",
"Nintendo Switch","Games","Owned","Legend of Zelda: Breath of the Wild","United States of America","Official","Nintendo","Nintendo, Monolith Soft","Action, Adventure, RPG","14 abr 2021","Boxed","32,88","35,49","42,5","35,49","-1.0",1.0,1.0,?,"","","97",
"Nintendo Switch","Games","Owned","Legend of Zelda: Link's Awakening","United States of America","Official","Nintendo","Grezzo, Nintendo EAD","Action, Adventure","14 abr 2021","Boxed","30,49","32,3","40,49","32,3","-1.0",1.0,1.0,?,"","","87",
"Nintendo Switch","Games","Owned","Legend of Zelda: Tears of the Kingdom","United States of America","Official","Nintendo","Nintendo EPD","Action, Adventure","15 may 2025","CIB","39,75","40,5","50,05","40,5","-1.0",1.0,1.0,1.0,"","","96",
"Nintendo Switch","Games","Owned","Legend of Zelda: Tears of the Kingdom [Collector's Edition]","United States of America","Official","Nintendo","Nintendo EPD","Action, Adventure","7 ene 2026","CIB+","70,5","96,55","86,19","96,55","-1.0",1.0,1.0,1.0,"","","96",
"Nintendo Switch","Games","Owned","Witcher 3: Wild Hunt [Complete Edition]","United States of America","Official","CD Projekt","CD Projekt RED Sp. z o.o.","Action, Adventure, RPG","14 abr 2021","CIB","28,49","30,49","60,45","30,49","-1.0",1.0,1.0,1.0,"","","85",
"Nintendo Switch","Games","Owned","Tiny Barbarian DX","United States of America","Official","Nicalis, Inc.","StarQuail Games","Action, Platformer","16 abr 2025","Loose+","15,77","19,01","33,31","15,77","-1.0",1.0,?,1.0,"","","77",
"Nintendo Switch","Games","Owned","TrailBlazers","United States of America","Official","Rising Star Games","Supergonk Ltd.","Racing","6 nov 2024","CIB","12,88","13,99","22,95","13,99","-1.0",1.0,1.0,1.0,"","","62",
"Nintendo Switch","Games","Owned","Trials Rising [Gold Edition]","United States of America","Official","Ubisoft","Ubisoft","Racing, Sports","14 abr 2021","Boxed","13,99","15,5","21,18","15,5","-1.0",1.0,1.0,?,"","","78",
"Nintendo Switch","Games","Owned","Trine: Ultimate Collection","United States of America","Official","Modus Games","Frozenbyte, Inc.","Adventure, Platformer","14 abr 2021","Boxed","19,55","20,25","38,32","20,25","-1.0",0.9,1.0,?,"","","Missing Field",
"Nintendo Switch","Games","Owned","Troll and I","United States of America","Official","Maximum Games","Spiral House Ltd","Action, Adventure, RPG","4 ago 2024","CIB","8,99","10,39","13,39","10,39","-1.0",1.0,1.0,1.0,"","","Missing Field",
"Nintendo Switch","Games","Owned","Ultra Street Fighter II","United States of America","Official","Capcom","Capcom","Fighting","14 abr 2021","Boxed","26,49","30,49","58,51","30,49","-1.0",1.0,1.0,?,"","","66",
"Nintendo Switch","Games","Owned","Valkyria Chronicles 4","United States of America","Official","Sega","Sega","RPG, Strategy","14 abr 2021","Boxed","20,01","20,5","30,5","20,5","-1.0",1.0,1.0,?,"","","82",
"Nintendo Switch","Games","Owned","Victor Vran: Overkill Edition","United States of America","Official","Wired Productions","Haemimont Games AD","Action, RPG","6 nov 2024","CIB","22,49","24,32","40,5","24,32","-1.0",1.0,1.0,1.0,"","","82",
"Nintendo Switch","Games","Owned","WarioWare: Get it Together!","United States of America","Official","Nintendo of America, Inc.","Intelligent Systems, Nintendo EPD","Action, Party","24 may 2025","CIB","20,07","21,74","25,49","21,74","-1.0",?,?,?,"","","76",
"Nintendo Switch","Games","Owned","Wolfenstein II: The New Colossus","United States of America","Official","Bethesda Softworks","Machinegames, Panic Button","First-person shooter","14 abr 2021","Boxed","25","29,25","58,95","29,25","-1.0",1.0,0.9,?,"","","79",
"Nintendo Switch","Games","Owned","Wonder Boy: The Dragon's Trap","United States of America","Official","DotEmu, Nicalis","Lizardcube","Action, Adventure, Platformer","14 abr 2021","Boxed","30,5","35,02","50,47","35,02","-1.0",1.0,1.0,?,"","","79",
"PC","Games","Owned","Guild Wars 2","United States of America","Official","NCsoft","ArenaNet","RPG, MMO","14 abr 2021","Boxed","3,46","8,5","14,68","6,66","-1.0",1.0,1.0,?,"","","90",
"Sony PlayStation 4","Games","Owned","Batman: Arkham Knight","United States of America","Official","WB Games","Rocksteady","Action, Adventure, Sandbox","14 abr 2021","Boxed","9,02","11,38","26,38","11,38","-1.0",1.0,1.0,?,"","","87",
"Sony PlayStation 4","Games","Owned","Battleborn","United States of America","Official","2K Games","Gearbox Software","Action","14 abr 2021","Boxed","4,39","5,9","7,5","5,9","-1.0",1.0,1.0,?,"","","68",
"Sony PlayStation 4","Games","Owned","Battlefield 1","United States of America","Official","Electronic Arts","DiCE","First-person shooter","14 abr 2021","Boxed","6,39","6,82","12,14","6,82","-1.0",1.0,1.0,?,"","","89",
"Sony PlayStation 4","Games","Owned","Bloodborne","United States of America","Official","Sony Computer Entertainment","FromSoftware, Inc.","Action, RPG","14 abr 2021","Boxed","14,67","15,49","23,93","15,49","-1.0",1.0,1.0,?,"","","92",
"Sony PlayStation 4","Games","Owned","Call of Duty: Black Ops III","United States of America","Official","Activision","Activision","Action, First-person shooter","14 abr 2021","Boxed","12,31","13,14","25,2","13,14","-1.0",1.0,1.0,?,"","","81",
"Sony PlayStation 4","Games","Owned","Call of Duty: Ghosts [Hardened Edition]","United States of America","Official","Activision","Infinity Ward","Action, First-person shooter","14 abr 2021","Boxed","18,69","28","65,68","28","-1.0",1.0,1.0,?,"","","78",
"Sony PlayStation 4","Games","Owned","Call of Duty: Infinite Warfare","United States of America","Official","Activision","Infinity Ward","First-person shooter","14 abr 2021","Boxed","10,13","10,19","15,32","10,19","-1.0",0.9,1.0,1.0,"","","77",
"Sony PlayStation 4","Games","Owned","Control","United States of America","Official","505 Games","Remedy Entertainment","Action, Adventure","14 abr 2021","Boxed","10,85","12,4","19,8","12,4","-1.0",1.0,1.0,?,"","","82",
"Sony PlayStation 4","Games","Owned","Cyberpunk 2077","United States of America","Official","CD Projekt Red, Warner Bros. Interactive Entertainment","CD Projekt RED Sp. z o.o.","Action, RPG, First-person shooter, Stealth","18 sept 2024","New","15,25","17","24,21","24,21","-1.0",?,1.0,?,"","","57",
"Sony PlayStation 4","Games","Owned","Dark Souls III","United States of America","Official","Bandai Namco Entertainment","FromSoftware, Inc.","Action","14 abr 2021","Boxed","11,38","11,72","30,99","11,72","-1.0",1.0,1.0,?,"","","89",
"Sony PlayStation 4","Games","Owned","Dead or Alive 5: Last Round","United States of America","Official","Koei Tecmo","Team Ninja","Fighting","14 abr 2021","Boxed","22,66","29,61","69,5","29,61","-1.0",1.0,1.0,?,"","","74",
"Sony PlayStation 4","Games","Owned","Deadpool","United States of America","Official","Activision","Activision, High Moon Studios","Action","19 abr 2021","Boxed","90,99","93,98","134,66","93,98","-1.0",?,?,?,"","","60",
"Sony PlayStation 4","Games","Owned","Destiny","United States of America","Official","Activision","Bungie","Action, First-person shooter","14 abr 2021","Boxed","4,5","8,34","10,75","8,34","-1.0",1.0,1.0,?,"","","76",
"Sony PlayStation 4","Games","Owned","Dragon's Crown Pro (Battle Hardened Edition)","United States of America","Official","Atlus Co., Ltd.","Vanillaware","Action, RPG","14 abr 2021","Boxed","30,34","33,36","56,31","33,36","-1.0",1.0,1.0,?,"","","80",
"Sony PlayStation 4","Games","Owned","Driveclub VR","United States of America","Official","Sony","Evolution","Racing","14 abr 2021","Boxed","12,75","12,79","16,98","12,79","-1.0",1.0,1.0,?,"","","66",
"Sony PlayStation 4","Games","Owned","F1 2017","United States of America","Official","Codemasters","Codemasters","Racing","14 abr 2021","Boxed","19,32","20,48","38,49","20,48","-1.0",1.0,1.0,?,"","","86",
"Sony PlayStation 4","Games","Owned","Fallout 4","United States of America","Official","Bethesda Softworks","Bethesda Softworks","Action, Adventure, RPG","14 abr 2021","Boxed","8,5","10,61","20,45","10,61","-1.0",1.0,1.0,?,"","","87",
"Sony PlayStation 4","Games","Owned","Far Cry Primal [Deluxe Edition]","United States of America","Official","Ubisoft","Ubisoft Montreal","Action, Adventure, First-person shooter","14 abr 2021","CIB","15,56","17,82","40,5","17,82","-1.0",1.0,1.0,1.0,"","","76",
"Sony PlayStation 4","Games","Owned","FIFA 14","United States of America","Official","EA Sports","EA Canada","Sports","14 abr 2021","Boxed","12,64","16","37,79","16","-1.0",1.0,1.0,?,"","","87",
"Sony PlayStation 4","Games","Owned","FIFA 17","United Kingdom","Official","Electronic Arts","EA Canada","Sports","14 abr 2021","Boxed","2,92","3,28","8,61","3,28","-1.0",1.0,1.0,?,"","","85",
"Sony PlayStation 4","Games","Owned","Final Fantasy XV [Deluxe Edition]","United States of America","Official","Square Enix","Square Enix","RPG","14 abr 2021","CIB","12,49","12,5","27,64","12,5","-1.0",1.0,1.0,1.0,"","","81",
"Sony PlayStation 4","Games","Owned","God of War","United States of America","Official","Sony Computer Entertainment America, Inc.","Sony Santa Monica Studio","Action, Adventure","19 abr 2021","Boxed","12,1","12,99","22","12,99","-1.0",?,?,?,"","","94",
"Sony PlayStation 4","Games","Owned","God of War III Remastered","United States of America","Official","Sony Computer Entertainment America","Sony Santa Monica Studio, Wholesale Algorithms","Action, Adventure","14 abr 2021","Boxed","13,5","14,98","25,49","14,98","-1.0",1.0,1.0,?,"","","81",
"Sony PlayStation 4","Games","Owned","Gran Turismo Sport","United States of America","Official","Sony Interactive Entertainment","Polyphony Digital Inc.","Racing","14 abr 2021","Boxed","10,5","14,36","15,49","14,36","-1.0",1.0,1.0,?,"","","75",
"Sony PlayStation 4","Games","Owned","Grand Theft Auto V","United States of America","Official","Rockstar Games","Rockstar North","Action, Adventure, Sandbox","14 abr 2021","Boxed","9,5","12,35","19,73","12,35","-1.0",1.0,1.0,?,"","","97",
"Sony PlayStation 4","Games","Owned","Guitar Hero Live [Guitar Bundle]","United States of America","Official","Activision","Freestyle Games","Music","14 abr 2021","Boxed","132,24","135,5","213,4","135,5","-1.0",1.0,0.9,?,"","","80",
"Sony PlayStation 4","Games","Owned","Horizon Zero Dawn","United States of America","Official","Sony Computer Entertainment","Guerrilla Games","Action, Adventure, RPG","14 abr 2021","Boxed","7,81","8,63","18,47","8,63","-1.0",1.0,1.0,?,"","","89",
"Sony PlayStation 4","Games","Owned","inFAMOUS: Second Son","United States of America","Official","Sony Computer Entertainment America, Inc.","Sucker Punch Productions","Action, Adventure, Sandbox","19 abr 2021","Boxed","10,89","11,45","35,57","11,45","-1.0",?,?,?,"","","80",
"Sony PlayStation 4","Games","Owned","Injustice: Gods Among Us - Ultimate Edition","United States of America","Official","High Voltage Software, Inc.","NetherRealm Studios","Action, Fighting","14 abr 2021","Boxed","5,96","7,13","15,5","7,13","-1.0",1.0,1.0,?,"","","80",
"Sony PlayStation 4","Games","Owned","INSIDE / LIMBO Double Pack","United States of America","Official","505 Games","Playdead","Action, Platformer","14 abr 2021","Boxed","25","25,3","35","25,3","-1.0",1.0,1.0,?,"","","Missing Field",
"Sony PlayStation 4","Games","Owned","Just Dance 2014","United States of America","Official","Ubisoft Entertainment","Ubisoft Paris","Action, Music","14 abr 2021","Boxed","12,49","16,01","27,83","16,01","-1.0",1.0,1.0,?,"","","75",
