Platform,Category,UserRecordType,Title,Country,ReleaseType,Publisher,Developer,Genre,CreatedAt,Ownership,PriceLoose,PriceCIB,PriceNew,YourPrice,PricePaid,ItemCondition,BoxCondition,ManualCondition,Notes,Tags,metacritic
"Nintendo Switch","Games","Owned","Pokémon: Let's Go, Pikachu!","United States of America","Official","Nintendo","Game Freak","Adventure, RPG, Strategy","24 jul 2024","CIB","32,5","35,49","42,5","35,49","-1.0",?,?,?,"","","79",
"Nintendo Switch","Games","Owned","Rayman Legends: Definitive Edition","United States of America","Official","Ubisoft Entertainment","Pasta Games","Action, Adventure, Platformer","14 abr 2021","Boxed","15,49","15,5","23,9","15,5","-1.0",1.0,1.0,?,"","","84",
"Nintendo Switch","Games","Owned","RBI Baseball 2017","United States of America","Official","Nighthawk Interactive","MLB AM","Sports","6 nov 2024","CIB","10,49","10,49","21,31","10,49","-1.0",1.0,1.0,1.0,"","","38",
"Nintendo Switch","Games","Owned","Resident Evil: Revelations Collection","United States of America","Official","Capcom","Capcom","Action, Adventure, Puzzle, Strategy, First-person shooter, Horror","14 abr 2021","Boxed","24","27,55","44,45","27,55","-1.0",1.0,1.0,?,"","","78",
"Nintendo Switch","Games","Owned","Riot: Civil Unrest","United States of America","Official","Merge Games","IV Productions","Strategy","14 abr 2021","Boxed","13,9","14,49","19,01","14,49","-1.0",1.0,1.0,?,"","","48",
"Nintendo Switch","Games","Owned","Samurai Shodown","United States of America","Official","SNK","SNK","Fighting","4 sept 2025","CIB","90,45","110,5","155,5","110,5","-1.0",1.0,1.0,1.0,"","","75",
"Nintendo Switch","Games","Owned","Shaq Fu: A Legend Reborn","United States of America","Official","Saber Interactive, Wired Productions","Big Deez Productions","Action, Beat 'em up","6 nov 2024","CIB","9,96","12,98","15,69","12,98","-1.0",1.0,1.0,1.0,"","","49",
"Nintendo Switch","Games","Owned","Sine Mora EX","United Kingdom","Official","THQ Nordic","Digital Reality, Grasshopper Manufacture","Shoot 'em up","4 ago 2024","CIB","8,9","10,42","16,49","10,42","-1.0",1.0,1.0,1.0,"","","70",
"Nintendo Switch","Games","Owned","Sonic Forces","United States of America","Official","Sega","Sonic Team","Action, Platformer","8 jul 2024","M+B+","8,74","12,49","13,9","8,61","-1.0",?,1.0,?,"","","57",
"Nintendo Switch","Games","Owned","Sonic Mania","United States of America","Official","Sega","Christan Whitehead","Action, Adventure, Platformer","14 mar 2025","CIB","11,39","12,47","17,42","12,47","-1.0",1.0,1.0,1.0,"","","86",
"Nintendo Switch","Games","Owned","South Park: The Fractured But Whole","United States of America","Official","Ubisoft Entertainment","Ubisoft San Francisco","RPG","4 ago 2024","CIB","19,39","20,47","30,49","20,47","-1.0",1.0,1.0,1.0,"","","80",
"Nintendo Switch","Games","Owned","Super Mario 3D All-Stars","United States of America","Official","Nintendo","Nintendo","Action, Adventure, Platformer","14 abr 2021","Boxed","76,18","79,73","108,38","79,73","-1.0",1.0,0.9,?,"","","82",
"Nintendo Switch","Games","Owned","Super Mario Bros. Wonder","United States of America","Official","Nintendo","Nintendo EPD","Adventure, Platformer","28 mar 2025","CIB","37,24","37,54","43,72","37,54","-1.0",1.0,1.0,1.0,"","","92",
"Nintendo Switch","Games","Owned","Super Mario Maker 2","United States of America","Official","Nintendo","Nintendo","Sandbox, Platformer","14 abr 2021","Boxed","29,99","30,17","37,47","30,17","-1.0",1.0,1.0,?,"","","88",
"Nintendo Switch","Games","Owned","Super Mario Odyssey","United States of America","Official","Nintendo","Nintendo","Action, Platformer","14 abr 2021","Boxed","30,99","34,49","41","34,49","-1.0",1.0,1.0,?,"","","97",
"Nintendo Switch","Games","Owned","Super Mario Party","United States of America","Official","Nintendo","NDCube","Puzzle, Board, Family, Party","14 abr 2021","Boxed","29,4","29,45","41,13","29,45","-1.0",1.0,1.0,?,"","","76",
"Nintendo Switch","Games","Owned","Super Mario RPG","United States of America","Official","Nintendo","ArtePiazza","Adventure, RPG","12 sept 2024","CIB","25,49","25,49","29,19","25,49","-1.0",1.0,1.0,1.0,"","","84",
"Nintendo Switch","Games","Owned","Super Smash Bros. Ultimate","United States of America","Official","Nintendo","Bandai Namco Entertainment, Sora Ltd.","Action, Fighting, Platformer","7 nov 2021","CIB","35,5","39,47","44,06","39,47","-1.0",1.0,1.0,1.0,"","","93",
"Nintendo Switch","Games","Owned","Elder Scrolls V: Skyrim","United States of America","Official","Bethesda Softworks, Nintendo","Bethesda Game Studios","Action, RPG","14 abr 2021","Boxed","30,99","33,5","54,92","33,5","-1.0",1.0,?,?,"","","84",
"Nintendo Switch","Games","Owned","Legend of Zelda: Breath of the Wild","United States of America","Official","Nintendo","Nintendo, Monolith Soft","Action, Adventure, RPG","14 abr 2021","Boxed","29,05","31,75","38,64","31,75","-1.0",1.0,1.0,?,"","","97",
"Nintendo Switch","Games","Owned","Legend of Zelda: Link's Awakening","United States of America","Official","Nintendo","Grezzo, Nintendo EAD","Action, Adventure","14 abr 2021","Boxed","33,5","35,49","40,5","35,49","-1.0",1.0,1.0,?,"","","87",
"Nintendo Switch","Games","Owned","Legend of Zelda: Tears of the Kingdom","United States of America","Official","Nintendo","Nintendo EPD","Action, Adventure","15 may 2025","CIB","42,65","42,65","49,57","42,65","-1.0",1.0,1.0,1.0,"","","96",
"Nintendo Switch","Games","Owned","Legend of Zelda: Tears of the Kingdom [Collector's Edition]","United States of America","Official","Nintendo","Nintendo EPD","Action, Adventure","7 ene 2026","CIB+","80,5","105,5","85,49","105,5","-1.0",1.0,1.0,1.0,"","","96",
"Nintendo Switch","Games","Owned","Witcher 3: Wild Hunt [Complete Edition]","United States of America","Official","CD Projekt","CD Projekt RED Sp. z o.o.","Action, Adventure, RPG","14 abr 2021","CIB","29,48","32,25","54,97","32,25","-1.0",1.0,1.0,1.0,"","","85",
"Nintendo Switch","Games","Owned","Tiny Barbarian DX","United States of America","Official","Nicalis, Inc.","StarQuail Games","Action, Platformer","16 abr 2025","Loose+","15,79","18,77","32,42","15,79","-1.0",1.0,?,1.0,"","","77",
"Nintendo Switch","Games","Owned","TrailBlazers","United States of America","Official","Rising Star Games","Supergonk Ltd.","Racing","6 nov 2024","CIB","12,94","13,99","25,47","13,99","-1.0",1.0,1.0,1.0,"","","62",
"Nintendo Switch","Games","Owned","Trials Rising [Gold Edition]","United States of America","Official","Ubisoft","Ubisoft","Racing, Sports","14 abr 2021","Boxed","14,3","14,49","20,63","14,49","-1.0",1.0,1.0,?,"","","78",
"Nintendo Switch","Games","Owned","Trine: Ultimate Collection","United States of America","Official","Modus Games","Frozenbyte, Inc.","Adventure, Platformer","14 abr 2021","Boxed","19,5","19,5","39","19,5","-1.0",0.9,1.0,?,"","","Missing Field",
"Nintendo Switch","Games","Owned","Troll and I","United States of America","Official","Maximum Games","Spiral House Ltd","Action, Adventure, RPG","4 ago 2024","CIB","8,5","9,53","17,45","9,53","-1.0",1.0,1.0,1.0,"","","Missing Field",
"Nintendo Switch","Games","Owned","Ultra Street Fighter II","United States of America","Official","Capcom","Capcom","Fighting","14 abr 2021","Boxed","25,5","28,84","65,47","28,84","-1.0",1.0,1.0,?,"","","66",
"Nintendo Switch","Games","Owned","Valkyria Chronicles 4","United States of America","Official","Sega","Sega","RPG, Strategy","14 abr 2021","Boxed","20,01","20,28","30,5","20,28","-1.0",1.0,1.0,?,"","","82",
"Nintendo Switch","Games","Owned","Victor Vran: Overkill Edition","United States of America","Official","Wired Productions","Haemimont Games AD","Action, RPG","6 nov 2024","CIB","22,49","24,27","43,62","24,27","-1.0",1.0,1.0,1.0,"","","82",
"Nintendo Switch","Games","Owned","WarioWare: Get it Together!","United States of America","Official","Nintendo of America, Inc.","Intelligent Systems, Nintendo EPD","Action, Party","24 may 2025","CIB","19,48","22,21","27,37","22,21","-1.0",?,?,?,"","","76",
"Nintendo Switch","Games","Owned","Wolfenstein II: The New Colossus","United States of America","Official","Bethesda Softworks","Panic Button","Action, First-person shooter","14 abr 2021","Boxed","25,41","29,42","59,66","29,42","-1.0",1.0,0.9,?,"","","79",
"Nintendo Switch","Games","Owned","Wonder Boy: The Dragon's Trap","United States of America","Official","DotEmu, Nicalis","Lizardcube","Action, Adventure, Platformer","14 abr 2021","Boxed","30,5","34,36","50,49","34,36","-1.0",1.0,1.0,?,"","","79",
"PC","Games","Owned","Guild Wars 2","United States of America","Official","NCsoft","ArenaNet","RPG, MMO","14 abr 2021","Boxed","3,46","8,5","14,5","6,66","-1.0",1.0,1.0,?,"","","90",
"Sony PlayStation 4","Games","Owned","Batman: Arkham Knight","United States of America","Official","WB Games","Rocksteady","Action, Adventure, Sandbox","14 abr 2021","Boxed","8,82","9,96","25,49","9,96","-1.0",1.0,1.0,?,"","","87",
"Sony PlayStation 4","Games","Owned","Battleborn","United States of America","Official","2K Games","Gearbox Software","Action","14 abr 2021","Boxed","4,45","5,65","8,48","5,65","-1.0",1.0,1.0,?,"","","68",
"Sony PlayStation 4","Games","Owned","Battlefield 1","United States of America","Official","Electronic Arts","DiCE","First-person shooter","14 abr 2021","Boxed","6,33","8,09","12,14","8,09","-1.0",1.0,1.0,?,"","","89",
"Sony PlayStation 4","Games","Owned","Bloodborne","United States of America","Official","Sony Computer Entertainment","FromSoftware, Inc.","Action, RPG","14 abr 2021","Boxed","15,11","16,35","26,36","16,35","-1.0",1.0,1.0,?,"","","92",
"Sony PlayStation 4","Games","Owned","Call of Duty: Black Ops III","United States of America","Official","Activision","Activision","Action, First-person shooter","14 abr 2021","Boxed","9,92","10,47","29,13","10,47","-1.0",1.0,1.0,?,"","","81",
"Sony PlayStation 4","Games","Owned","Call of Duty: Ghosts [Hardened Edition]","United States of America","Official","Activision","Infinity Ward","Action, First-person shooter","14 abr 2021","Boxed","18,69","30,54","70,7","30,54","-1.0",1.0,1.0,?,"","","78",
"Sony PlayStation 4","Games","Owned","Call of Duty: Infinite Warfare","United States of America","Official","Activision","Infinity Ward","First-person shooter","14 abr 2021","Boxed","10","10,25","15,49","10,25","-1.0",0.9,1.0,1.0,"","","77",
"Sony PlayStation 4","Games","Owned","Control","United States of America","Official","505 Games","Remedy Entertainment","Action, Adventure","14 abr 2021","Boxed","10,5","12,48","22,49","12,48","-1.0",1.0,1.0,?,"","","82",
"Sony PlayStation 4","Games","Owned","Cyberpunk 2077","United States of America","Official","CD Projekt Red, Warner Bros. Interactive Entertainment","CD Projekt RED Sp. z o.o.","Action, RPG, First-person shooter, Stealth","18 sept 2024","New","14,49","16,49","22,99","22,99","-1.0",?,1.0,?,"","","57",
"Sony PlayStation 4","Games","Owned","Dark Souls III","United States of America","Official","Bandai Namco Entertainment","FromSoftware, Inc.","Action","14 abr 2021","Boxed","12,7","16,52","25,49","16,29","-1.0",1.0,1.0,?,"","","89",
"Sony PlayStation 4","Games","Owned","Dead or Alive 5: Last Round","United States of America","Official","Koei Tecmo","Team Ninja","Fighting","14 abr 2021","Boxed","20,6","30,49","75,5","28,6","-1.0",1.0,1.0,?,"","","74",
"Sony PlayStation 4","Games","Owned","Deadpool","United States of America","Official","Activision","Activision, High Moon Studios","Action","19 abr 2021","Boxed","92,21","95,3","160,18","95,3","-1.0",?,?,?,"","","60",
"Sony PlayStation 4","Games","Owned","Destiny","United States of America","Official","Activision","Bungie","Action, First-person shooter","14 abr 2021","Boxed","4,24","6,45","10,46","6,45","-1.0",1.0,1.0,?,"","","76",
"Sony PlayStation 4","Games","Owned","Dragon's Crown Pro (Battle Hardened Edition)","United States of America","Official","Atlus Co., Ltd.","Vanillaware","Action, RPG","14 abr 2021","Boxed","30,35","33","50,95","33","-1.0",1.0,1.0,?,"","","80",
"Sony PlayStation 4","Games","Owned","Driveclub VR","United States of America","Official","Sony","Evolution","Racing","14 abr 2021","Boxed","12,8","14,49","14,54","14,49","-1.0",1.0,1.0,?,"","","66",
"Sony PlayStation 4","Games","Owned","F1 2017","United States of America","Official","Codemasters","Codemasters","Racing","14 abr 2021","Boxed","19,17","19,89","39,34","19,89","-1.0",1.0,1.0,?,"","","86",
